ACC,metoncholaimus.1,sphaerolaimus.1,sphaerolaimus.2,oncholaimidae.1,oncholaimidae.2,thoracostoma.10,thoracostoma.11,epacanthion.1,epacanthion.2,thoracostoma.1,pontonema.1,oncholaimidae.3,pontonema.2,thoracostoma.2,oncholaimidae.4,thoracostoma.3,pontonema.3,thoracostoma.4,thoracostoma.5,oncholaimidae.5,oncholaimidae.6,oncholaimidae.7,oncholaimidae.8,sphaerolaimus.3,thoracostoma.6,thoracostoma.7,oncholaimidae.9,epacanthion.3,enoplolaimus.1,enoplolaimus.2,thoracostoma.8,thoracostoma.9,adoncholaimus.1,adoncholaimus.2,adoncholaimus.3,adoncholaimus.4,adoncholaimus.5,adoncholaimus.6,adoncholaimus.7,adoncholaimus.8,adoncholaimus.9,adoncholaimus.10,adoncholaimus.11
P_SG431,0.053961814,0.006566061,0.029042842,0.042292135,0.01463273,1.92E-05,1.03E-05,0.000166418,7.36E-05,0,0.000173094,0,0,0,7.40E-05,0,0,0,0,0.00062506,0,0,0,1.73E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P_SG433,0.060672347,0.007856973,0.033591722,0.050031873,0.014606031,6.45E-06,1.03E-05,0.001673591,0.00014804,0,0.00016682,0,2.30E-05,0,8.10E-05,0,0,0,0,0.002448367,0,0,0,6.96E-05,0,0,0,0,0,0,0,0,0,0,7.64E-06,0,0,0,0,0,0,0,0
P_SG434,0.076254055,0.013072819,0.038855908,0.092189065,0.018788461,0,6.98E-06,0.000242813,3.76E-05,0,0.000117858,0,0,0,0.00010448,0,0,0,0,0.000679211,0,0,0,3.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26E-06,0,0
P_SG435,0.061670454,0.006063228,0.031719132,0.054164803,0.015801552,2.63E-05,1.05E-05,0.00031755,0,0,7.41E-05,0,0,0,0.000118524,0,0,0,0,0.000818182,0,0,0,1.78E-05,0,0,0,0,0,0,0,0,0,4.83E-06,1.56E-05,0,0,0,0,0,0,0,2.69E-06
P_SG436,0.279796863,0.000600812,0.008451065,0.020677287,0.005859257,1.74E-05,2.16E-05,0.000257783,0,0,0,0,0,0,7.47E-05,0,0,0,0,0.002042555,0,0,0,4.69E-05,0,0,0,0,0,0,0,0,0,0,2.06E-05,0,0,0,0,0,0,0,4.74E-06
P_SG437,0.30322074,0.00124415,0.010464582,0.026269261,0.00476498,1.13E-05,1.20E-05,0.002449253,0.00055089,8.45E-06,1.27E-05,0,0,0,0.000122656,0,0,0,0,0.004380477,0,0,0,0.000152441,0,0,0,8.63E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62E-06
P_SG438,0.018949033,0.005048079,0.028203837,0.030708282,0.012082589,1.34E-05,2.50E-05,0.000174269,7.71E-05,0,6.04E-05,0,0,0,0.000102564,0,0,0,0,0.000454299,0,0,0,1.81E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-06,0,0
P_SG441,0.283831477,0.000929057,0.008828017,0.019676329,0.005522135,2.76E-05,8.81E-06,0.000224862,0.000253152,0,6.20E-06,0,0,0,5.80E-05,0,0,0,0,0.002125284,0,0,0,0.000119088,0,0,0,0,0,0,0,0,0,0,0,4.69E-06,0,0,0,2.64E-06,0,0,4.51E-06
P_SG4417,0.082627675,0.001456474,0.005577749,0.018291375,0.007443454,1.77E-05,1.26E-05,0.000153487,0.000135769,0,0,0,7.02E-06,0,8.83E-05,0,0,0,0,0.00062914,0,0,0,4.79E-05,0,0,0,0,0,0,0,0,0,0,7.01E-06,0,0,0,0,0,3.77E-06,0,0
P_SG444,0.005362104,0.003024552,0.0059954,0.003348559,0.002085647,2.00E-05,7.10E-06,0.000123591,0,0,0,0,0,0,8.60E-05,1.93E-05,0,0,0,0.000376875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90E-06,0,0,0,0,0,0,0,2.73E-06
